                          _
  ___   ____   _ _   ___ (_)  ___   ____   _ __   ____
 / __\ / __ \ | '_ \/_  '| | / __\ / __ \ | '__\ / __ \
2018-05-26 19:02:54 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading EngelCast Alive! feed
2018-05-26 19:02:55 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:55 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for EngelCast Alive! -> 0
2018-05-26 19:02:55 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Downloading El Pasquín feed
2018-05-26 19:02:56 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Reading files
2018-05-26 19:02:56 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - New tracks for El Pasquín -> 0
2018-05-26 19:02:56 [pool-2-thread-1] INFO  c.p.p.PodcastalertApplication - Closing #PodcastAlert proccess

2018-05-26 19:04:33 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
2018-05-26 19:04:33 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.c.a.AnnotationConfigApplicationContext - Closing org.springframework.context.annotation.AnnotationConfigApplicationContext@42721fe: startup date [Sat May 26 19:02:38 CDT 2018]; root of context hierarchy
2018-05-26 19:04:33 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2018-05-26 19:04:33 [RMI TCP Connection(2)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2018-05-26 19:04:43 [main] INFO  c.p.p.PodcastalertApplication - Starting PodcastalertApplication on DESKTOP-5CV30MA with PID 14016 (C:\Users\Fozz\eclipse-workspace\podcastalert\target\classes started by Fozz in C:\Users\Fozz\eclipse-workspace\podcastalert)
2018-05-26 19:04:43 [main] INFO  c.p.p.PodcastalertApplication - No active profile set, falling back to default profiles: default
2018-05-26 19:04:44 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@42721fe: startup date [Sat May 26 19:04:43 CDT 2018]; root of context hierarchy
2018-05-26 19:04:45 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
2018-05-26 19:04:45 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2018-05-26 19:04:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
2018-05-26 19:04:45 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2018-05-26 19:04:45 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
2018-05-26 19:04:45 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2018-05-26 19:04:46 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2018-05-26 19:04:46 [main] INFO  o.h.e.j.e.i.LobCreatorBuilderImpl - HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2018-05-26 19:04:46 [main] INFO  org.hibernate.type.BasicTypeRegistry - HHH000270: Type registration [java.util.UUID] overrides previous : org.hibernate.type.UUIDBinaryType@66deec87
2018-05-26 19:04:46 [main] INFO  o.h.tool.hbm2ddl.SchemaUpdate - HHH000228: Running hbm2ddl schema update
2018-05-26 19:04:46 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2018-05-26 19:04:47 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-05-26 19:04:47 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2018-05-26 19:04:47 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Getting all podcasts
2018-05-26 19:04:47 [main] INFO  c.p.p.PodcastalertApplication - Started PodcastalertApplication in 3.691 seconds (JVM running for 4.53)
2018-05-26 19:04:47 [main] INFO  c.p.p.PodcastalertApplication - #PodcastAlet proccess begings
2018-05-26 19:04:47 [pool-2-thread-1] INFO  o.h.h.i.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2018-05-26 19:04:47 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Los Inmamables feed
2018-05-26 19:04:47 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:47 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Los Inmamables -> 0
2018-05-26 19:04:47 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Comicverso feed
2018-05-26 19:04:49 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:49 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Comicverso -> 0
2018-05-26 19:04:49 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Downloading Freak Noob News feed
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - Reading files
2018-05-26 19:04:50 [pool-2-thread-1] INFO  c.p.p.component.PodcastAlertTask - New tracks for Freak Noob News -> 0
